ARL_code,Ammonium-N,Nitrate-N,Phosphate-P,TKN,TP
101,0.01,-0.04,56.47,0.32,117.48
,T,T,,I,
102,0.01,0.1,70.63,0.49,82.59
,T,T,,,
103,0.02,0.14,405.9,0.5,405.08
,T,T,,,
104,0.01,-0.05,76.3,1.16,116.09
,T,,,,
105,0.04,1.23,59.5,0.88,70.85
,T,T,,,
106,0.01,0.09,117.7,0.84,173.74
,T,T,,,
107,0.03,0.05,75.82,0.52,89.6
,T,T,,,
108,0.01,-0.01,262.67,0.54,274.68
,T,T,,I,
109,0.02,0.12,71.05,0.49,80.93
,T,I,,I,
110,0.02,0.17,365.84,0.43,384.44
,T,T,,,
111,0.02,-0.03,63.15,0.83,82.97
,T,,,,
112,0.03,1.27,38.64,0.87,65.23
,T,T,,,
113,0.03,0.1,109.54,0.77,128.53
,T,T,,I,
114,0.01,0,244.17,0.44,281.7
,T,T,,I,
115,0.01,0.06,50.31,0.32,78.47
,T,I,,I,
116,0.01,0.19,52.76,0.34,78.14
,T,,,,
117,0.04,1.95,71.85,0.76,77.26
,T,T,,,
118,0.01,0.02,36.95,0.7,57.12
,T,I,,I,
119,0.01,0.16,26.78,0.45,70.69
,T,T,,I,
120,0.02,0.15,190.09,0.48,252.13
,T,I,,T,
121,0.01,0.15,78.35,-0.11,124.86
,T,I,,T,
122,0.02,0.37,590.85,-0.16,658.46
,T,T,,T,
123,0.02,0.09,380.31,-0.13,432.03
,T,I,,T,
124,0.02,0.15,97.47,-0.19,124.44
,T,,,T,
125,0.06,1.96,82.12,0,143.99
,T,T,,T,
126,0.01,-0.03,38.19,0.01,61.84
,T,I,,T,
127,0.01,0.41,533.43,-0.18,638.43
,T,I,,T,
128,0.03,0.15,180.67,-0.15,245.29
,T,T,,T,
129,0.01,0.1,391.78,-0.06,631.79
,T,I,,I,
130,0.04,0.2,483.44,0.43,501.28
,T,,,,
131,0.03,2.77,57.99,0.89,66.31
,T,I,,I,
132,0.04,0.19,150.53,0.43,191.06
,T,I,,,
133,0.03,0.15,39.62,0.56,155.28
,T,,,,
134,0.03,0.54,721.54,0.92,785.36
,T,T,,I,
135,0.03,0.15,51.19,0.48,81.89
,T,T,,,
136,0.01,-0.01,71.04,0.89,126.76
,T,,,I,
137,0.01,0.52,693.68,0.33,805.07
,I,I,,T,
138,0.07,0.17,163.36,0.01,193.24
,T,I,,I,
139,0.04,0.26,335.58,0.46,403.32
,T,I,,I,
140,0.03,0.27,301.95,0.5,420.25
,T,I,,,
141,-0.01,0.19,436.02,0.87,596.62
,T,T,,,
142,-0.03,-0.05,68.6,1.18,94.75
,T,,,,
143,0,2.74,49.55,0.55,79.83
,T,T,,,
144,-0.03,-0.01,86.46,0.69,115.73
,T,T,,T,
145,0,0.1,449.81,-0.03,501.53
,T,T,,,
146,-0.01,0.14,114.54,0.62,139.96
,T,T,,I,
147,0.01,0.09,65.81,0.4,118.32
,T,,,,
148,0,0.53,670.08,0.53,851.57
,T,,,,
149,0,2.67,48.2,0.51,75.98
,T,T,,I,
150,-0.02,0.13,66.95,0.39,203.96
,T,I,,I,
151,-0.01,0.15,328.5,0.45,352.84
,T,I,,I,
152,-0.02,0.21,295.3,0.43,343.14
,T,T,,,
153,-0.03,0,93.13,0.74,136.73
,T,I,,,
154,-0.01,0.17,434.91,0.58,501.94
,T,,,I,
155,-0.01,0.56,675.5,0.26,787.8
,T,,,,
156,0.01,3.15,47.22,0.56,53.94
,T,I,,I,
157,-0.03,0.22,102.7,0.39,118.68
,T,I,,,
158,-0.03,0.19,454.35,0.66,627.02
,T,T,,,
159,-0.03,0.04,347.49,0.52,379.07
,T,T,,,
160,-0.02,0.07,146.17,0.67,158.58
,T,T,,,
161,-0.03,-0.01,64.91,1.31,111.46
,T,,,,
162,-0.01,2.23,84.39,0.58,98.44
,T,T,,I,
163,-0.01,0.11,97.25,0.36,104.12
,T,T,,I,
164,-0.03,0.01,69.08,0.45,86.21
,T,T,,I,
165,-0.01,0.07,84.33,0.48,100.45
,T,T,,I,
166,-0.02,0.01,326.13,0.46,388.88
,T,T,,,
167,-0.02,0.03,130.51,0.65,227.56
,T,T,,I,
168,-0.01,0.12,91.14,0.48,123.25
,T,T,,,
169,-0.02,-0.01,52.93,1.07,75.71
,T,,,,
170,0.04,2.42,90.7,0.92,121.88
,T,I,,,
171,0.01,0.19,418.83,0.58,484.71
