Species,Value,Date_col,Date_an,Sample_num,Time,Plant
Potassium,35.03,5/10/2021,5/14/2021,HNSr1,24,red_oakleaf
Calcium,224.09,5/10/2021,5/14/2021,HNSr1,24,red_oakleaf
Magnesium,50.52,5/10/2021,5/14/2021,HNSr1,24,red_oakleaf
Sulfate,207.74,5/10/2021,5/14/2021,HNSr1,24,red_oakleaf
Boron,0.34,5/10/2021,5/14/2021,HNSr1,24,red_oakleaf
Zinc,0.67,5/10/2021,5/14/2021,HNSr1,24,red_oakleaf
Manganese,0.32,5/10/2021,5/14/2021,HNSr1,24,red_oakleaf
Iron,1.95,5/10/2021,5/14/2021,HNSr1,24,red_oakleaf
Copper,0.69,5/10/2021,5/14/2021,HNSr1,24,red_oakleaf
Molybdenum,0.1,5/10/2021,5/14/2021,HNSr1,24,red_oakleaf
pH,6,5/10/2021,5/14/2021,HNSr1,24,red_oakleaf
Nitrate-Nitrogen,198.28,5/10/2021,5/14/2021,HNSr2,14,crystal_lettuce
Ammonia-Nitrogen,0.06,5/10/2021,5/14/2021,HNSr2,14,crystal_lettuce
Phosphorus,23.25,5/10/2021,5/14/2021,HNSr2,14,crystal_lettuce
Potassium,110.18,5/10/2021,5/14/2021,HNSr2,14,crystal_lettuce
Calcium,177.25,5/10/2021,5/14/2021,HNSr2,14,crystal_lettuce
Magnesium,45.53,5/10/2021,5/14/2021,HNSr2,14,crystal_lettuce
Sulfate,159.48,5/10/2021,5/14/2021,HNSr2,14,crystal_lettuce
Boron,0.32,5/10/2021,5/14/2021,HNSr2,14,crystal_lettuce
Zinc,0.74,5/10/2021,5/14/2021,HNSr2,14,crystal_lettuce
Manganese,0.38,5/10/2021,5/14/2021,HNSr2,14,crystal_lettuce
Iron,1.87,5/10/2021,5/14/2021,HNSr2,14,crystal_lettuce
Copper,0.52,5/10/2021,5/14/2021,HNSr2,14,crystal_lettuce
Molybdenum,0.07,5/10/2021,5/14/2021,HNSr2,14,crystal_lettuce
pH,6.1,5/10/2021,5/14/2021,HNSr2,14,crystal_lettuce
Nitrate-Nitrogen,188.83,5/14/2021,5/14/2021,HNSr2,21,crystal_lettuce
Ammonia-Nitrogen,0.06,5/14/2021,5/14/2021,HNSr2,21,crystal_lettuce
Phosphorus,18.99,5/14/2021,5/14/2021,HNSr2,21,crystal_lettuce
Potassium,19.93,5/14/2021,5/14/2021,HNSr2,21,crystal_lettuce
Calcium,216.73,5/14/2021,5/14/2021,HNSr2,21,crystal_lettuce
Magnesium,57.84,5/14/2021,5/14/2021,HNSr2,21,crystal_lettuce
Sulfate,213.46,5/14/2021,5/14/2021,HNSr2,21,crystal_lettuce
Boron,0.39,5/14/2021,5/14/2021,HNSr2,21,crystal_lettuce
Zinc,1.01,5/14/2021,5/14/2021,HNSr2,21,crystal_lettuce
Manganese,0.46,5/14/2021,5/14/2021,HNSr2,21,crystal_lettuce
Iron,2.14,5/14/2021,5/14/2021,HNSr2,21,crystal_lettuce
Copper,0.73,5/14/2021,5/14/2021,HNSr2,21,crystal_lettuce
Molybdenum,0.1,5/14/2021,5/14/2021,HNSr2,21,crystal_lettuce
pH,6,5/14/2021,5/14/2021,HNSr2,21,crystal_lettuce
Nitrate-Nitrogen,134.3,5/14/2021,5/14/2021,HNSr3,1,romaine
Ammonia-Nitrogen,7.56,5/14/2021,5/14/2021,HNSr3,1,romaine
Phosphorus,26.46,5/14/2021,5/14/2021,HNSr3,1,romaine
Potassium,113.65,5/14/2021,5/14/2021,HNSr3,1,romaine
Calcium,140.2,5/14/2021,5/14/2021,HNSr3,1,romaine
Magnesium,39.27,5/14/2021,5/14/2021,HNSr3,1,romaine
Sulfate,139.88,5/14/2021,5/14/2021,HNSr3,1,romaine
Boron,0.29,5/14/2021,5/14/2021,HNSr3,1,romaine
Zinc,0.22,5/14/2021,5/14/2021,HNSr3,1,romaine
Manganese,0.61,5/14/2021,5/14/2021,HNSr3,1,romaine
Iron,1.61,5/14/2021,5/14/2021,HNSr3,1,romaine
Copper,0.34,5/14/2021,5/14/2021,HNSr3,1,romaine
Molybdenum,0.08,5/14/2021,5/14/2021,HNSr3,1,romaine
pH,6.2,5/14/2021,5/14/2021,HNSr3,1,romaine
Nitrate-Nitrogen,177.95,5/24/2021,5/25/2021,HNSr3,8,romaine
Ammonia-Nitrogen,3.23,5/24/2021,5/25/2021,HNSr3,8,romaine
Phosphorus,25.68,5/24/2021,5/25/2021,HNSr3,8,romaine
Potassium,138.03,5/24/2021,5/25/2021,HNSr3,8,romaine
Calcium,142.95,5/24/2021,5/25/2021,HNSr3,8,romaine
Magnesium,39.62,5/24/2021,5/25/2021,HNSr3,8,romaine
Sulfate,139.31,5/24/2021,5/25/2021,HNSr3,8,romaine
Boron,0.28,5/24/2021,5/25/2021,HNSr3,8,romaine
Zinc,0.03,5/24/2021,5/25/2021,HNSr3,8,romaine
Manganese,0.34,5/24/2021,5/25/2021,HNSr3,8,romaine
Iron,1.65,5/24/2021,5/25/2021,HNSr3,8,romaine
Copper,0.38,5/24/2021,5/25/2021,HNSr3,8,romaine
Molybdenum,0.09,5/24/2021,5/25/2021,HNSr3,8,romaine
pH,6,5/24/2021,5/25/2021,HNSr3,8,romaine
Nitrate-Nitrogen,163.23,6/1/2021,6/2/2021,HNSr1,4,romaine
Ammonia-Nitrogen,5.98,6/1/2021,6/2/2021,HNSr1,4,romaine
Phosphorus,29.75,6/1/2021,6/2/2021,HNSr1,4,romaine
Potassium,155.36,6/1/2021,6/2/2021,HNSr1,4,romaine
Calcium,156.53,6/1/2021,6/2/2021,HNSr1,4,romaine
Magnesium,43.72,6/1/2021,6/2/2021,HNSr1,4,romaine
Sulfate,158.25,6/1/2021,6/2/2021,HNSr1,4,romaine
Boron,0.33,6/1/2021,6/2/2021,HNSr1,4,romaine
Zinc,0.05,6/1/2021,6/2/2021,HNSr1,4,romaine
Manganese,0.29,6/1/2021,6/2/2021,HNSr1,4,romaine
Iron,1.43,6/1/2021,6/2/2021,HNSr1,4,romaine
Copper,0.43,6/1/2021,6/2/2021,HNSr1,4,romaine
Molybdenum,0.1,6/1/2021,6/2/2021,HNSr1,4,romaine
pH,6,6/1/2021,6/2/2021,HNSr1,4,romaine
Nitrate-Nitrogen,175,6/1/2021,6/2/2021,HNSr3,15,romaine
Ammonia-Nitrogen,0.01,6/1/2021,6/2/2021,HNSr3,15,romaine
Phosphorus,21.72,6/1/2021,6/2/2021,HNSr3,15,romaine
Potassium,141.2,6/1/2021,6/2/2021,HNSr3,15,romaine
Calcium,150.67,6/1/2021,6/2/2021,HNSr3,15,romaine
Magnesium,42.36,6/1/2021,6/2/2021,HNSr3,15,romaine
Sulfate,150.4,6/1/2021,6/2/2021,HNSr3,15,romaine
Boron,0.32,6/1/2021,6/2/2021,HNSr3,15,romaine
Zinc,0.26,6/1/2021,6/2/2021,HNSr3,15,romaine
Manganese,0.38,6/1/2021,6/2/2021,HNSr3,15,romaine
Iron,1.56,6/1/2021,6/2/2021,HNSr3,15,romaine
Copper,0.39,6/1/2021,6/2/2021,HNSr3,15,romaine
Molybdenum,0.08,6/1/2021,6/2/2021,HNSr3,15,romaine
pH,6.4,6/1/2021,6/2/2021,HNSr3,15,romaine
Nitrate-Nitrogen,186.48,6/7/2021,6/16/2021,HNSr1,11,romaine
Ammonia-Nitrogen,0.01,6/7/2021,6/16/2021,HNSr1,11,romaine
Phosphorus,26.49,6/7/2021,6/16/2021,HNSr1,11,romaine
Potassium,174.05,6/7/2021,6/16/2021,HNSr1,11,romaine
Calcium,177.32,6/7/2021,6/16/2021,HNSr1,11,romaine
Magnesium,50.35,6/7/2021,6/16/2021,HNSr1,11,romaine
Sulfate,180.48,6/7/2021,6/16/2021,HNSr1,11,romaine
Boron,0.33,6/7/2021,6/16/2021,HNSr1,11,romaine
Zinc,0.25,6/7/2021,6/16/2021,HNSr1,11,romaine
Manganese,0.36,6/7/2021,6/16/2021,HNSr1,11,romaine
Iron,1.56,6/7/2021,6/16/2021,HNSr1,11,romaine
Copper,0.53,6/7/2021,6/16/2021,HNSr1,11,romaine
Molybdenum,0.05,6/7/2021,6/16/2021,HNSr1,11,romaine
pH,6.1,6/7/2021,6/16/2021,HNSr1,11,romaine
Nitrate-Nitrogen,198.9,6/7/2021,6/16/2021,HNSr2,6,bibb
Ammonia-Nitrogen,4.03,6/7/2021,6/16/2021,HNSr2,6,bibb
Phosphorus,30.85,6/7/2021,6/16/2021,HNSr2,6,bibb
Potassium,178.82,6/7/2021,6/16/2021,HNSr2,6,bibb
Calcium,178.99,6/7/2021,6/16/2021,HNSr2,6,bibb
Magnesium,53.64,6/7/2021,6/16/2021,HNSr2,6,bibb
Sulfate,191.44,6/7/2021,6/16/2021,HNSr2,6,bibb
Boron,0.38,6/7/2021,6/16/2021,HNSr2,6,bibb
Zinc,0.32,6/7/2021,6/16/2021,HNSr2,6,bibb
Manganese,0.19,6/7/2021,6/16/2021,HNSr2,6,bibb
Iron,1.62,6/7/2021,6/16/2021,HNSr2,6,bibb
Copper,0.64,6/7/2021,6/16/2021,HNSr2,6,bibb
Molybdenum,0.07,6/7/2021,6/16/2021,HNSr2,6,bibb
pH,5.8,6/7/2021,6/16/2021,HNSr2,6,bibb
Nitrate-Nitrogen,204.43,6/7/2021,6/16/2021,HNSr3,22,romaine
Ammonia-Nitrogen,0.02,6/7/2021,6/16/2021,HNSr3,22,romaine
Phosphorus,17.44,6/7/2021,6/16/2021,HNSr3,22,romaine
Potassium,165.44,6/7/2021,6/16/2021,HNSr3,22,romaine
Calcium,184.08,6/7/2021,6/16/2021,HNSr3,22,romaine
Magnesium,53.97,6/7/2021,6/16/2021,HNSr3,22,romaine
Sulfate,198.96,6/7/2021,6/16/2021,HNSr3,22,romaine
Boron,0.36,6/7/2021,6/16/2021,HNSr3,22,romaine
Zinc,0.54,6/7/2021,6/16/2021,HNSr3,22,romaine
Manganese,0.36,6/7/2021,6/16/2021,HNSr3,22,romaine
Iron,1.97,6/7/2021,6/16/2021,HNSr3,22,romaine
Copper,0.58,6/7/2021,6/16/2021,HNSr3,22,romaine
Molybdenum,0.08,6/7/2021,6/16/2021,HNSr3,22,romaine
pH,6.1,6/7/2021,6/16/2021,HNSr3,22,romaine
Nitrate-Nitrogen,204.03,6/14/2021,6/16/2021,HNSr1,18,romaine
Ammonia-Nitrogen,0.07,6/14/2021,6/16/2021,HNSr1,18,romaine
Phosphorus,25.04,6/14/2021,6/16/2021,HNSr1,18,romaine
Potassium,87.39,6/14/2021,6/16/2021,HNSr1,18,romaine
Calcium,175.84,6/14/2021,6/16/2021,HNSr1,18,romaine
Magnesium,50.02,6/14/2021,6/16/2021,HNSr1,18,romaine
Sulfate,177.93,6/14/2021,6/16/2021,HNSr1,18,romaine
Boron,0.33,6/14/2021,6/16/2021,HNSr1,18,romaine
Zinc,0.31,6/14/2021,6/16/2021,HNSr1,18,romaine
Manganese,0.11,6/14/2021,6/16/2021,HNSr1,18,romaine
Iron,1.65,6/14/2021,6/16/2021,HNSr1,18,romaine
Copper,0.62,6/14/2021,6/16/2021,HNSr1,18,romaine
Molybdenum,0.06,6/14/2021,6/16/2021,HNSr1,18,romaine
pH,6.2,6/14/2021,6/16/2021,HNSr1,18,romaine
Nitrate-Nitrogen,159.48,6/14/2021,6/16/2021,HNSr2,13,butter
Ammonia-Nitrogen,0.06,6/14/2021,6/16/2021,HNSr2,13,butter
Phosphorus,34.11,6/14/2021,6/16/2021,HNSr2,13,butter
Potassium,123.86,6/14/2021,6/16/2021,HNSr2,13,butter
Calcium,165.12,6/14/2021,6/16/2021,HNSr2,13,butter
Magnesium,50.45,6/14/2021,6/16/2021,HNSr2,13,butter
Sulfate,180.99,6/14/2021,6/16/2021,HNSr2,13,butter
Boron,0.37,6/14/2021,6/16/2021,HNSr2,13,butter
Zinc,0.33,6/14/2021,6/16/2021,HNSr2,13,butter
Manganese,0.38,6/14/2021,6/16/2021,HNSr2,13,butter
Iron,1.62,6/14/2021,6/16/2021,HNSr2,13,butter
Copper,0.69,6/14/2021,6/16/2021,HNSr2,13,butter
Molybdenum,0.06,6/14/2021,6/16/2021,HNSr2,13,butter
pH,6.2,6/14/2021,6/16/2021,HNSr2,13,butter
Nitrate-Nitrogen,152.3,6/14/2021,6/16/2021,HNSr3,3,romaine
Ammonia-Nitrogen,7.81,6/14/2021,6/16/2021,HNSr3,3,romaine
Phosphorus,30.16,6/14/2021,6/16/2021,HNSr3,3,romaine
Potassium,124.9,6/14/2021,6/16/2021,HNSr3,3,romaine
Calcium,147.45,6/14/2021,6/16/2021,HNSr3,3,romaine
Magnesium,42.32,6/14/2021,6/16/2021,HNSr3,3,romaine
Sulfate,155.31,6/14/2021,6/16/2021,HNSr3,3,romaine
Boron,0.32,6/14/2021,6/16/2021,HNSr3,3,romaine
Zinc,0.29,6/14/2021,6/16/2021,HNSr3,3,romaine
Manganese,0.59,6/14/2021,6/16/2021,HNSr3,3,romaine
Iron,1.81,6/14/2021,6/16/2021,HNSr3,3,romaine
Copper,0.44,6/14/2021,6/16/2021,HNSr3,3,romaine
Molybdenum,0.06,6/14/2021,6/16/2021,HNSr3,3,romaine
pH,6.1,6/14/2021,6/16/2021,HNSr3,3,romaine
Nitrate-Nitrogen,173.08,6/18/2021,6/23/2021,HNSr2,21,bibb
Ammonia-Nitrogen,0.05,6/18/2021,6/23/2021,HNSr2,21,bibb
Phosphorus,28.61,6/18/2021,6/23/2021,HNSr2,21,bibb
Potassium,129.56,6/18/2021,6/23/2021,HNSr2,21,bibb
Calcium,161.92,6/18/2021,6/23/2021,HNSr2,21,bibb
Magnesium,50.24,6/18/2021,6/23/2021,HNSr2,21,bibb
Sulfate,182.57,6/18/2021,6/23/2021,HNSr2,21,bibb
Boron,0.37,6/18/2021,6/23/2021,HNSr2,21,bibb
Zinc,0.31,6/18/2021,6/23/2021,HNSr2,21,bibb
Manganese,0.01,6/18/2021,6/23/2021,HNSr2,21,bibb
Iron,1.65,6/18/2021,6/23/2021,HNSr2,21,bibb
Copper,0.71,6/18/2021,6/23/2021,HNSr2,21,bibb
Molybdenum,0.07,6/18/2021,6/23/2021,HNSr2,21,bibb
pH,6.5,6/18/2021,6/23/2021,HNSr2,21,bibb
Nitrate-Nitrogen,166.68,6/18/2021,6/23/2021,HNSr3,11,romaine
Ammonia-Nitrogen,0.15,6/18/2021,6/23/2021,HNSr3,11,romaine
Phosphorus,26.41,6/18/2021,6/23/2021,HNSr3,11,romaine
Potassium,135.15,6/18/2021,6/23/2021,HNSr3,11,romaine
Calcium,146.95,6/18/2021,6/23/2021,HNSr3,11,romaine
Magnesium,43.04,6/18/2021,6/23/2021,HNSr3,11,romaine
Sulfate,157.5,6/18/2021,6/23/2021,HNSr3,11,romaine
Boron,0.32,6/18/2021,6/23/2021,HNSr3,11,romaine
Zinc,0.27,6/18/2021,6/23/2021,HNSr3,11,romaine
Manganese,0.34,6/18/2021,6/23/2021,HNSr3,11,romaine
Iron,1.69,6/18/2021,6/23/2021,HNSr3,11,romaine
Copper,0.44,6/18/2021,6/23/2021,HNSr3,11,romaine
Molybdenum,0.06,6/18/2021,6/23/2021,HNSr3,11,romaine
pH,5.9,6/18/2021,6/23/2021,HNSr3,11,romaine
Nitrate-Nitrogen,174.28,6/24/2021,7/2/2021,HNSr1,2,romaine
Ammonia-Nitrogen,6.23,6/24/2021,7/2/2021,HNSr1,2,romaine
Phosphorus,32.6,6/24/2021,7/2/2021,HNSr1,2,romaine
Potassium,146.1,6/24/2021,7/2/2021,HNSr1,2,romaine
Calcium,139.2,6/24/2021,7/2/2021,HNSr1,2,romaine
Magnesium,38.91,6/24/2021,7/2/2021,HNSr1,2,romaine
Sulfate,138.83,6/24/2021,7/2/2021,HNSr1,2,romaine
Boron,0.34,6/24/2021,7/2/2021,HNSr1,2,romaine
Zinc,0.23,6/24/2021,7/2/2021,HNSr1,2,romaine
Manganese,0.16,6/24/2021,7/2/2021,HNSr1,2,romaine
Iron,1.81,6/24/2021,7/2/2021,HNSr1,2,romaine
Copper,0.35,6/24/2021,7/2/2021,HNSr1,2,romaine
Molybdenum,0.06,6/24/2021,7/2/2021,HNSr1,2,romaine
pH,6.1,6/24/2021,7/2/2021,HNSr1,2,romaine
Nitrate-Nitrogen,164.28,6/24/2021,7/2/2021,HNSr2,27,bibb
Ammonia-Nitrogen,0.05,6/24/2021,7/2/2021,HNSr2,27,bibb
