Species,Value,Date_col,Date_an,Sample_num
Copper,0.73,5/14/2021,5/14/2021,kalera2
Molybdenum,0.1,5/14/2021,5/14/2021,kalera2
pH,6,5/14/2021,5/14/2021,kalera2
Nitrate-Nitrogen,134.3,5/14/2021,5/14/2021,kalera3
Ammonia-Nitrogen,7.56,5/14/2021,5/14/2021,kalera3
Phosphorus,26.46,5/14/2021,5/14/2021,kalera3
Potassium,113.65,5/14/2021,5/14/2021,kalera3
Calcium,140.2,5/14/2021,5/14/2021,kalera3
Magnesium,39.27,5/14/2021,5/14/2021,kalera3
Sulfate,139.88,5/14/2021,5/14/2021,kalera3
Boron,0.29,5/14/2021,5/14/2021,kalera3
Zinc,0.22,5/14/2021,5/14/2021,kalera3
Manganese,0.61,5/14/2021,5/14/2021,kalera3
Iron,1.61,5/14/2021,5/14/2021,kalera3
Copper,0.34,5/14/2021,5/14/2021,kalera3
Molybdenum,0.08,5/14/2021,5/14/2021,kalera3
pH,6.2,5/14/2021,5/14/2021,kalera3
Nitrate-Nitrogen,177.95,5/24/2021,5/25/2021,kalera3
Ammonia-Nitrogen,3.23,5/24/2021,5/25/2021,kalera3
Phosphorus,25.68,5/24/2021,5/25/2021,kalera3
Potassium,138.03,5/24/2021,5/25/2021,kalera3
Calcium,142.95,5/24/2021,5/25/2021,kalera3
Magnesium,39.62,5/24/2021,5/25/2021,kalera3
Sulfate,139.31,5/24/2021,5/25/2021,kalera3
Boron,0.28,5/24/2021,5/25/2021,kalera3
Zinc,0.03,5/24/2021,5/25/2021,kalera3
Manganese,0.34,5/24/2021,5/25/2021,kalera3
Iron,1.65,5/24/2021,5/25/2021,kalera3
Copper,0.38,5/24/2021,5/25/2021,kalera3
Molybdenum,0.09,5/24/2021,5/25/2021,kalera3
pH,6,5/24/2021,5/25/2021,kalera3
Nitrate-Nitrogen,163.23,6/1/2021,6/2/2021,kalera1
Ammonia-Nitrogen,5.98,6/1/2021,6/2/2021,kalera1
Phosphorus,29.75,6/1/2021,6/2/2021,kalera1
Potassium,155.36,6/1/2021,6/2/2021,kalera1
Calcium,156.53,6/1/2021,6/2/2021,kalera1
Magnesium,43.72,6/1/2021,6/2/2021,kalera1
Sulfate,158.25,6/1/2021,6/2/2021,kalera1
Boron,0.33,6/1/2021,6/2/2021,kalera1
Zinc,0.05,6/1/2021,6/2/2021,kalera1
Manganese,0.29,6/1/2021,6/2/2021,kalera1
Iron,1.43,6/1/2021,6/2/2021,kalera1
Copper,0.43,6/1/2021,6/2/2021,kalera1
Molybdenum,0.1,6/1/2021,6/2/2021,kalera1
pH,6,6/1/2021,6/2/2021,kalera1
Nitrate-Nitrogen,175,6/1/2021,6/2/2021,kalera3
Ammonia-Nitrogen,0.01,6/1/2021,6/2/2021,kalera3
Phosphorus,21.72,6/1/2021,6/2/2021,kalera3
Potassium,141.2,6/1/2021,6/2/2021,kalera3
Calcium,150.67,6/1/2021,6/2/2021,kalera3
Magnesium,42.36,6/1/2021,6/2/2021,kalera3
Sulfate,150.4,6/1/2021,6/2/2021,kalera3
Boron,0.32,6/1/2021,6/2/2021,kalera3
Zinc,0.26,6/1/2021,6/2/2021,kalera3
Manganese,0.38,6/1/2021,6/2/2021,kalera3
Iron,1.56,6/1/2021,6/2/2021,kalera3
Copper,0.39,6/1/2021,6/2/2021,kalera3
Molybdenum,0.08,6/1/2021,6/2/2021,kalera3
pH,6.4,6/1/2021,6/2/2021,kalera3
Nitrate-Nitrogen,186.48,6/7/2021,6/14/2021,kalera1
Ammonia-Nitrogen,0.01,6/7/2021,6/14/2021,kalera1
Phosphorus,26.49,6/7/2021,6/14/2021,kalera1
Potassium,174.05,6/7/2021,6/14/2021,kalera1
Calcium,177.32,6/7/2021,6/14/2021,kalera1
Magnesium,50.35,6/7/2021,6/14/2021,kalera1
Sulfate,180.48,6/7/2021,6/14/2021,kalera1
Boron,0.33,6/7/2021,6/14/2021,kalera1
Zinc,0.25,6/7/2021,6/14/2021,kalera1
Manganese,0.36,6/7/2021,6/14/2021,kalera1
Iron,1.56,6/7/2021,6/14/2021,kalera1
Copper,0.53,6/7/2021,6/14/2021,kalera1
Molybdenum,0.05,6/7/2021,6/14/2021,kalera1
pH,6.1,6/7/2021,6/14/2021,kalera1
Nitrate-Nitrogen,198.9,6/7/2021,6/14/2021,kalera2
Ammonia-Nitrogen,4.03,6/7/2021,6/14/2021,kalera2
Phosphorus,30.85,6/7/2021,6/14/2021,kalera2
Potassium,178.82,6/7/2021,6/14/2021,kalera2
Calcium,178.99,6/7/2021,6/14/2021,kalera2
Magnesium,53.64,6/7/2021,6/14/2021,kalera2
Sulfate,191.44,6/7/2021,6/14/2021,kalera2
Boron,0.38,6/7/2021,6/14/2021,kalera2
Zinc,0.32,6/7/2021,6/14/2021,kalera2
Manganese,0.19,6/7/2021,6/14/2021,kalera2
Iron,1.62,6/7/2021,6/14/2021,kalera2
Copper,0.64,6/7/2021,6/14/2021,kalera2
Molybdenum,0.07,6/7/2021,6/14/2021,kalera2
pH,5.8,6/7/2021,6/14/2021,kalera2
Nitrate-Nitrogen,204.43,6/7/2021,6/14/2021,kalera3
Ammonia-Nitrogen,0.02,6/7/2021,6/14/2021,kalera3
Phosphorus,17.44,6/7/2021,6/14/2021,kalera3
Potassium,165.44,6/7/2021,6/14/2021,kalera3
Calcium,184.08,6/7/2021,6/14/2021,kalera3
Magnesium,53.97,6/7/2021,6/14/2021,kalera3
Sulfate,198.96,6/7/2021,6/14/2021,kalera3
Boron,0.36,6/7/2021,6/14/2021,kalera3
Zinc,0.54,6/7/2021,6/14/2021,kalera3
Manganese,0.36,6/7/2021,6/14/2021,kalera3
Iron,1.97,6/7/2021,6/14/2021,kalera3
Copper,0.58,6/7/2021,6/14/2021,kalera3
Molybdenum,0.08,6/7/2021,6/14/2021,kalera3
pH,6.1,6/7/2021,6/14/2021,kalera3
